,Brand_Name,Product,Rating,Total_Rating,Price,Exchange_Discount,Expected_Delivery,LINK,Extra_Details
10,eAirtec 81,eAirtec 81 cms (32 inches) HD Ready Smart LED TV 32DJSM (Black) (2020 Model),3.9 out of 5,"3,521 global ratings",not given,"Up to    2,050.00 off","Wednesday, Jan 26, 7AM-9PM",https://www.amazon.in/eAirtec-inches-Ready-Smart-32DJSM/dp/B07M9K7HX8/ref=sr_1_8?keywords=TV&qid=1643026327&sr=8-8,"Resolution: HD Ready (1366 x 768p) | Refresh Rate: 60Hz
Connectivity: 1 HDMI Ports to connect set top box, Blu Ray players, gaming console and to connect to your laptop or computer as a monitor | 2 USB Ports to connect pen drives / HDD and other USB device | 1 TFT Card Input to access images, videos or songs | 1 Headphone (3.5mm) Port to connect headphones.
Sound: 20 Watts Output (10 x 2) | Virtual Sorround Sound
Display: A+ Grade IPS Panel | Premium Finish Design | Viewing Angle: 178 degrees
Smart TV Features: Android based Multi OS | Screen Mirroring | In-Built Wi-Fi | Preinstalled popular apps like Prime, Netflix, Youtube and Facebook."
11,eAirtec 102,eAirtec 102 cms (40 inches) HD Ready Smart LED TV 40DJSM (Black) (2020 Model),3.9 out of 5,"2,582 global ratings",not given,"Up to    2,050.00 off","Wednesday, Jan 26, 7AM-9PM",https://www.amazon.in/eAirtec-inches-Ready-Smart-40DJSM/dp/B07MNH2VR8/ref=sr_1_9?keywords=TV&qid=1643026327&sr=8-9,"Resolution: HD Ready (1366 x 768p) | Refresh Rate: 60Hz
Connectivity: 1 HDMI Ports to connect set top box, Blu Ray players, gaming console and to connect to your laptop or computer as a monitor | 2 USB Ports to connect pen drives / HDD and other USB device | 1 TFT Card Input to access images, videos or songs | 1 Headphone (3.5mm) Port to connect headphones.
Sound: 20 Watts Output (10 x 2) | Virtual Sorround Sound
Display: A+ Grade IPS Panel | Premium Finish Design | Viewing Angle: 178 degrees
Smart TV Features: Android based Multi OS | Screen Mirroring | In-Built Wi-Fi | Preinstalled popular apps like Prime, Netflix, Youtube and Facebook."
12,VW 80,VW 80 cm (32 inches) HD Ready LED Smart TV VW32S (Black) (2021 Model),4 out of 5,"2,543 global ratings",not given,"Up to    2,050.00 off","Wednesday, Jan 26, 7AM-9PM",https://www.amazon.in/Visio-World-inches-VW32S-Ready/dp/B07MNNH484/ref=sr_1_10?keywords=TV&qid=1643026327&sr=8-10,"Resolution: HD Ready (1366x768) | Refresh Rate: 60 hertz | Viewing Angle: 178 degrees
Connectivity: 2 HDMI ports to connect set top box, Blu Ray players, gaming console | 2 USB ports to connect hard drives and other USB devices
Sound : 20 Watts output | Powerful Stereo Output | Power Audio, Music Equalizer
Display: IPE Techonology, Eco Vision, Cinema Mode, Cinema Zoom, Supports 16.7 million colours
Smart TV Features: Built-in WiFi, Android, Screen Mirroring, PC Connectivity, Wireless Headphone Control, EcoD
Warranty Information: 1 year warranty provided by Visio World from date of purchase
Installation: For requesting installation/wall mounting/demo of this product once delivered, please directly call Visio World support on 18001020777, 18001028471 and provide product's model name as well as seller's details mentioned on the invoice
Easy returns: This product is eligible for replacement/refund within 10 days of delivery in case of any product defects, damage or features not matching the description provided"
13,Samsung 80,Samsung 80 cm (32 Inches) Wondertainment Series HD Ready LED Smart TV UA32T4340BKXXL (Glossy Black) (2021 Model),4.3 out of 5,"11,644 global ratings",not given,"Up to    2,050.00 off","Wednesday, Jan 26, 7AM-9PM",https://www.amazon.in/Samsung-Inches-Wondertainment-UA32T4340BKXXL-Glossy/dp/B09F6S8BT6/ref=sr_1_11?keywords=TV&qid=1643026327&sr=8-11,"Resolution: HD Ready (1366x768) | Refresh Rate: 60 hertz
Connectivity: 2 HDMI ports to connect set top box, Blu Ray players, gaming console | 1 USB ports to connect hard drives and other USB devices
Sound : 20 Watts Output | Dolby Digital Plus
Smart TV Features : Personal Computer | Screen Share | Music System | Content Guide | Connect Share Movie
Display : LED Panel | Mega Contrast | PurColor | HD Picture Quality | Slim & Stylish Design
Warranty Information: 1 year comprehensive warranty plus additional 1 years on panel by brand from date of invoice
Installation: TV Table stand is not included in the box with this model. customer may ask for Table Top Stand or Wall Mount which will be provided to the customer at the time of installation, please directly call Samsung support on [1800407267864 / 180057267864] and provide product's model name as well as seller's details mentioned on the invoice
Easy Returns: This product is eligible for replacement within 10 days of delivery in case of any product defects, damage or features not matching the description"
14,Redmi 126,Redmi 126 cm (50 inches) 4K Ultra HD Android Smart LED TV X50|L50M6-RA (Black) (2021 Model),4.3 out of 5,"16,364 global ratings",not given,"Up to    2,050.00 off","Monday, Feb 7, 8AM-5PM",https://www.amazon.in/Redmi-inches-Ultra-Android-L50M6-RA/dp/B08Y55LPBF/ref=sr_1_12?keywords=TV&qid=1643026327&sr=8-12,"Resolution: 4K Ultra HD (3840 x 2160) | Refresh Rate: 60Hz | Viewing angle : 178 Degree
Connectivity: 3 HDML ports to connect latest gaming consoles, set top box, Blu-ray Players | 2 USB ports to connect hard drives and other USB devices | ALLM | eARC - Dolby Atmos Passthrough eARC HDMI port | Bluetooth 5.0 | Optical
Sound: 30 Watts Output | Dolby Audio | DTS Virtual: X | Dolby Atmos pass through eARC | DTS-HD
Smart TV Features : Android TV 10 | PatchWall - Kids Mode with Parental Lock | Smart Curation | Universal search | Language Universe | India's Top 10 | Okay Google | Chromecast| Suporting Apps : Netflix, Prime Video, Disney+ Hotstar, 2.4GHz/5GHz Wi-Fi 802.11 a/b/g/n/ac (2x2 MIMO)
Display: 4K LED Panel | Dolby Vision | HDR10+ | HLG | Reality Flow | Vivid Picture Engine
Warranty Information: 1 year comprehensive warranty on product and 1 year additional on Panel provided by the brand from the date of purchase
Easy Returns: This product is eligible for replacement within 10 days of delivery in case of any product defects, damage or features not matching the description provided"
15,Vu 108,Vu 108 cm (43 Inches) Premium 4K Series Smart Android LED TV 43PM (Grey) (2021 Model),4.2 out of 5,174 global ratings,not given,"Up to    2,050.00 off","Wednesday, Jan 26, 7AM-9PM",https://www.amazon.in/Inches-Premium-Smart-Android-43PM/dp/B09C8D3XF6/ref=sr_1_13?keywords=TV&qid=1643026327&sr=8-13,"Resolution : 4K Ultra HD (3840x2160) | Refresh Rate : 60 Hertz | 178 Degree wide viewing angle
Connectivity: 3 HDMI ports to connect set top box, Blu-ray speakers or gaming console | 2 USB ports to connect hard drives or other USB devices
Sound: 30 Watts Output | Dolby Audio | DTS Virtual-X Surround Sound | TruBass HDX | TruSurround X | Dialog Clarity
Smart TV Features : Official Android | Google play store | ActiVoice Remote Control | Google Eco-system (Movies, TV, Music, Games) | Google Games | chromecast Built-in | Netflix | Prime Video | Youtube | Hotstar | Bluetooth 5.0
Display : Premium 4K Display with 40 % Enhanced Brightness | AI Picture Booster | Dolby Vision, HDR10, HLG | VOD Upscaling | Cricket Mode | PC and Game Mode | Anti-Glare Screen | Panoramic Viewing
Warranty Information: 1 year warranty provided by Vu from date of purchase
Installation/Wall mounting/Demo will be arranged by AHS Team. For any other information, please contact VU support on[Visit Brand website for toll free numbers and additional contact details.]
Easy Returns: This product is eligible for replacement within 10 days of delivery in case of any product defects, damage or features not matching the description"
16,Samsung 80,Samsung 80 cm (32 inches) Wondertainment Series HD Ready LED Smart TV UA32TE40AAKBXL (Titan Gray) (2020 Model),4.3 out of 5,"11,644 global ratings",not given,"Up to    2,050.00 off","Wednesday, Jan 26, 7AM-9PM",https://www.amazon.in/Samsung-inches-Wondertainment-Ready-UA32TE40AAKBXL/dp/B08PV1X771/ref=sr_1_14?keywords=TV&qid=1643026327&sr=8-14,"Resolution: HD Ready (1366x768) | Refresh Rate: 60 hertz
Connectivity: 2 HDMI ports to connect set top box, Blu Ray players, gaming console | 1 USB ports to connect hard drives and other USB devices
Sound : 20 Watts Output | Dolby Digital Plus
Smart TV Features : Voice Assistants | SmartThings App | Personal Computer | Home Cloud | Live Cast | Screen Share | Music System |Alexa Built-in: Voice control your TV and your day. Just ask Alexa to search for movies, play music, control smart home devices, get sports updates and more
Display : LED Panel | Mega Contrast | PurColor | HD Picture Quality | Slim & Stylish Design
Warranty Information: 1 year comprehensive warranty plus additional 1 years on panel by brand from date of invoice
Installation: TV Table stand is not included in the box with this model. customer may ask for Table Top Stand or Wall Mount which will be provided to the customer at the time of installation, please directly call Samsung support on [1800407267864 / 180057267864] and provide product's model name as well as seller's details mentioned on the invoice
Easy returns: This product is eligible for replacement within 10 days of delivery in case of any product defects, damage or features not matching the description provided"
17,iFFALCON 126,iFFALCON 126 cm (50 inches) 4K Ultra HD Certified Android Smart LED TV 50U61 (Black) (2021 Model),4.3 out of 5,969 global ratings,not given,"Up to    2,050.00 off","Wednesday, Jan 26, 7AM-9PM",https://www.amazon.in/iFFALCON-inches-Certified-Android-50U61/dp/B0995QP51X/ref=sr_1_15?keywords=TV&qid=1643026327&sr=8-15,"Resolution: 4K Ultra HD (3840 x 2160) | Refresh Rate: 60 Hertz
Connectivity : 3 HDMI ports to connect set top box, Blue Ray players | 1 USB ports to connect hard drives and other USB devices
Sound: 24 Watts Output | Dolby Audio Power Speakers | Surround Virtualizer
Smart TV Features : Google Assistant | 4K Android TV + HDR 10 | AI-IN | T-cast | Bluetooth 5.0
Display : A+ Grade Panel | UHD | HDR 10 | Full Screen | Slim Design
Warranty Information : 1 Year comprehensive warranty provided by TCL from date of purchase
Easy returns: This product is eligible for replacement within 10 days of delivery in case of any product defects, damage or features not matching the description provided"
18,Samsung 80,Samsung 80 cm (32 Inches) Wondertainment Series HD Ready LED Smart TV UA32T4340AKXXL (Glossy Black) (2020 Model),4.3 out of 5,"11,644 global ratings",not given,"Up to    2,050.00 off","Wednesday, Jan 26, 7AM-9PM",https://www.amazon.in/Samsung-Inches-Wondertainment-UA32T4340AKXXL-Glossy/dp/B086WZSK4F/ref=sr_1_16?keywords=TV&qid=1643026327&sr=8-16,"Resolution: HD Ready (1366x768) | Refresh Rate: 60 hertz
Connectivity: 2 HDMI ports to connect set top box, Blu Ray players, gaming console | 1 USB ports to connect hard drives and other USB devices
Sound : 20 Watts Output | Dolby Digital Plus
Smart TV Features : Personal Computer | Screen Share | Music System | Content Guide | Connect Share Movie
Display : LED Panel | Mega Contrast | PurColor | HD Picture Quality | Slim & Stylish Design
Warranty Information: 1 year comprehensive warranty plus additional 1 years on panel by brand from date of invoice
Installation: TV Table stand is not included in the box with this model. customer may ask for Table Top Stand or Wall Mount which will be provided to the customer at the time of installation, please directly call Samsung support on [1800407267864 / 180057267864] and provide product's model name as well as seller's details mentioned on the invoice
Easy returns: This product is eligible for replacement within 10 days of delivery in case of any product defects, damage or features not matching the description provided"
19,Mi 108,Mi 108 cm (43 Inches) 4K Ultra HD Android Smart LED TV 4X | L43M4-4AIN (Black),4.3 out of 5,"20,205 global ratings",not given,"Up to    2,050.00 off","Monday, Feb 7, 8AM-5PM",https://www.amazon.in/108-Inches-Ultra-Android-Black/dp/B08JDQVMBK/ref=sr_1_17?keywords=TV&qid=1643026327&sr=8-17,"Resolution: 4K Ultra HD (3840x2160) | Refresh Rate: 60 hertz. Viewing Angle：178°
Connectivity: 3 HDMI ports to connect set top box, Blu-ray speakers or a gaming console | 2 USB ports to connect hard drives or other USB devices | 3.5mm Jack to connect your Audio devices | 1 LAN port
Sound: 20 Watts Output | Dolby Audio + DTS-HD
Smart TV features : Built-In Wi-Fi | PatchWall | Netflix | Prime Video | Disney+Hotstar and more | Android TV 9.0 | Google Assistant | PatchWall - 25+ Content Partners|Kids Mode with Parental Lock| Smart Recommendations |Universal search| Language Universe | User Centre
Display : LED Panel | Vivid picture engine | 4K HDR 10
Warranty Information: 1 Year Warranty on TV, 2 Years on Panel
Easy returns: This product is eligible for replacement within 10 days of delivery in case of any product defects, damage or features not matching the description provided"
